Date,Stock Symbol,Action,Qty,Price,Notes
2026-06-11,NIPNIT,BUY,4,30.93,upstox order book import
2026-06-18,NIPNIT,BUY,4,31.59,upstox order book import
2026-06-25,NIPNIT,BUY,4,30.57,upstox order book import
2026-07-02,NIPNIT,BUY,4,29.82,upstox order book import
2026-07-09,NIPNIT,BUY,2,30.63,upstox order book import
2026-07-16,NIPNIT,BUY,2,32.05,upstox order book import
2026-07-23,NIPNIT,BUY,2,31.59,upstox order book import
2026-07-30,NIPNIT,BUY,2,35.05,upstox order book import
2026-08-06,NIPNIT,BUY,2,34.7,upstox order book import
2026-08-13,NIPNIT,BUY,2,34.82,upstox order book import
2026-08-20,NIPNIT,BUY,2,34.11,upstox order book import
2026-08-27,NIPNIT,BUY,2,33.72,upstox order book import
2026-09-03,NIPNIT,BUY,2,34.32,upstox order book import
2026-09-10,NIPNIT,BUY,2,32.09,upstox order book import
2023-12-04,NTPC,BUY,12,274.75,upstox order book import
2024-10-15,ONGC,BUY,2,282.7,upstox order book import
2024-11-18,ONGC,BUY,2,250.35,upstox order book import
2024-12-16,ONGC,BUY,2,251.7,upstox order book import
2025-01-15,ONGC,BUY,2,259.73,upstox order book import
2025-02-17,ONGC,BUY,2,231.6,upstox order book import
2025-03-17,ONGC,BUY,2,228.47,upstox order book import
2025-04-15,ONGC,BUY,2,233.05,upstox order book import
2025-11-27,ONGC,BUY,5,245.2,upstox order book import
2025-12-04,ONGC,BUY,5,241.95,upstox order book import
2025-12-11,ONGC,BUY,5,240.1,upstox order book import
2025-12-18,ONGC,BUY,5,232.5,upstox order book import
2025-12-26,ONGC,BUY,5,234.85,upstox order book import
2024-10-15,PETLNG,BUY,2,353.7,upstox order book import
2024-11-18,PETLNG,BUY,2,312.8,upstox order book import
2024-12-16,PETLNG,BUY,2,336.5,upstox order book import
2025-01-15,PETLNG,BUY,2,326.6,upstox order book import
2025-02-17,PETLNG,BUY,2,283.05,upstox order book import
2025-03-17,PETLNG,BUY,2,284.45,upstox order book import
2025-04-15,PETLNG,BUY,2,294.0,upstox order book import
2021-04-16,RELIND,BUY,5,1928.0,upstox order book import
2022-02-24,RELIND,BUY,10,2307.0,upstox order book import
2022-03-08,RELIND,BUY,10,2197.0,upstox order book import
2024-10-14,RELIND,BUY,2,2751.35,upstox order book import
2024-11-18,RELIND,BUY,5,1266.55,upstox order book import
2025-01-27,RELIND,BUY,5,1228.8,upstox order book import
2025-02-25,RELIND,BUY,5,1208.85,upstox order book import
2025-03-25,RELIND,BUY,5,1288.45,upstox order book import
2025-04-09,RELIND,BUY,2,1169.5,upstox order book import
2026-06-15,RELIND,BUY,5,1314.3,upstox order book import
2026-06-22,RELIND,BUY,5,1338.5,upstox order book import
2026-06-29,RELIND,BUY,5,1309.9,upstox order book import
2026-07-06,RELIND,BUY,5,1321.6,upstox order book import
2026-07-13,RELIND,BUY,5,1299.5,upstox order book import
2022-01-28,SEQSCI,BUY,1,169.45,upstox order book import
2022-02-28,SEQSCI,BUY,1,135.25,upstox order book import
2022-03-31,SEQSCI,BUY,1,136.0,upstox order book import
2022-05-02,SEQSCI,BUY,1,133.7,upstox order book import
2022-05-31,SEQSCI,BUY,1,111.0,upstox order book import
2022-06-30,SEQSCI,BUY,1,94.75,upstox order book import
2022-08-01,SEQSCI,BUY,1,128.35,upstox order book import
2022-09-01,SEQSCI,BUY,1,113.1,upstox order book import
2022-09-30,SEQSCI,BUY,1,104.05,upstox order book import
2022-10-31,SEQSCI,BUY,1,98.0,upstox order book import
2023-12-04,SJVLIM,BUY,67,86.95,upstox order book import
2021-11-22,TATGLO,BUY,20,828.0,upstox order book import
2022-02-01,TATGLO,BUY,10,730.0,upstox order book import
2023-12-04,TATPOW,BUY,8,281.0,upstox order book import
2022-02-11,WIPRO,BUY,20,565.1,upstox order book import
2022-02-14,WIPRO,BUY,20,550.0,upstox order book import
2024-09-03,WIPRO,BUY,10,536.55,upstox order book import
2026-02-24,WIPRO,BUY,100,199.77,upstox order book import
2026-04-07,WIPRO,BUY,5,203.08,upstox order book import
2026-04-15,WIPRO,BUY,5,207.27,upstox order book import
2026-04-17,WIPRO,BUY,10,203.67,upstox order book import
,LGELEC,,,,NO TRADE HISTORY FOUND - manual entry required
,TATCAP,,,,NO TRADE HISTORY FOUND - manual entry required
,NTPGRE,,,,NO TRADE HISTORY FOUND - manual entry required
